"Código (AMOSTRAGEM BIOLÓGICA - TELEÓSTEOS)";"Data da amostragem";"Código da amostra";"Região";"Amostra foi proveniente de qual atividade";"Informações gerais sobre desembarque / despesca > Nome da unidade produtiva";"Informações gerais sobre desembarque / despesca > Porto de desembarque / despesca";"Informações gerais sobre desembarque / despesca > Data do desembarque / despesca";"Informações gerais sobre desembarque / despesca > Hora do desembarque / despesca";"Informações gerais sobre a arte de pesca > Arte de pesca";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Armadilhas";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Arrastos";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Emalhes";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Espinheis";"Informações gerais sobre a arte de pesca > Arte de pesca níve II - Linhas";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Outros";"Informações sobre a faína de pesca > Período dedicado à faína de pesca";"Informações sobre a faína de pesca > Tempo médio de duração da faína de pesca";"Informações sobre as capturas > Captura total da viagem (kg)";"Informações sobre as capturas > Captura total da espécie (kg)";"Local da coleta (Latitude)";"Local da coleta (Longitude)";"Local de edição (Latitude)";"Local de edição (Longitude)";"Criado por";"Atualizado por";"Criado em";"Criado em (horário do dispositivo)";"Atualizado em"
"1.1233685";"01/02/2025";"#187";"Região Centro-Sul";"Pesca artesanal";"Lag Sto Antonio dos Anjos";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"26/02/2025 16:13";"26/02/2025 16:13";"21/03/2025 16:40"
"1.1233636";"30/01/2025";"#183";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"26/02/2025 15:41";"26/02/2025 15:41";"13/03/2025 11:17"
"1.1233630";"27/01/2025";"#174";"Região Central";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"26/02/2025 15:36";"26/02/2025 15:36";"07/04/2025 11:00"
"1.1233623";"21/12/2024";"#167";"Região Centro-Sul";"Pesca artesanal";"Barranceira";"";"";"";"Arrasto";"";"Berimbau";"";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"26/02/2025 15:29";"26/02/2025 15:29";"13/03/2025 11:15"
"1.1233539";"29/01/2025";"#181";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Outros";"";"";"";"";"";"Tarrafa";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"26/02/2025 15:00";"26/02/2025 15:00";"13/03/2025 11:12"
"1.1233501";"17/12/2024";"#163";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"26/02/2025 14:36";"26/02/2025 14:36";"13/03/2025 11:11"
"1.1233416";"14/01/2025";"#168";"Região Centro-Sul";"Pesca artesanal";"Imaruí";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"26/02/2025 13:25";"26/02/2025 13:25";"13/03/2025 11:09"
"1.1233262";"21/06/2024";"#169";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"26/02/2025 11:07";"26/02/2025 11:07";"13/03/2025 11:04"
"1.1233200";"15/12/2024";"#160";"Região Centro-Sul";"Pesca artesanal";"Tesoura";"";"";"";"Outros";"";"";"";"";"";"Tarrafa";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"26/02/2025 10:52";"26/02/2025 10:52";"13/03/2025 11:04"
"1.1233150";"04/12/2024";"#158";"Região Centro-Sul";"Pesca artesanal";"Barranceira";"";"";"";"Arrasto";"";"Berimbau";"";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"26/02/2025 10:35";"26/02/2025 10:35";"13/03/2025 11:03"
