"Código (AMOSTRAGEM BIOLÓGICA - TELEÓSTEOS)";"Código (Amostragem Biológica - Organismo à Organismo)";"Amostragem Biológica - Organismo à Organismo > ID - Amostra";"Amostragem Biológica - Organismo à Organismo > ID - Indivíduo";"Amostragem Biológica - Organismo à Organismo > Espécie amostrada (Código)";"Amostragem Biológica - Organismo à Organismo > Espécie amostrada (Rótulo)";"Amostragem Biológica - Organismo à Organismo > Sexo";"Amostragem Biológica - Organismo à Organismo > Estágio de maturação - Macho";"Amostragem Biológica - Organismo à Organismo > Estágio de maturação - Fêmea";"Amostragem Biológica - Organismo à Organismo > Comprimento total - CT (cm)";"Amostragem Biológica - Organismo à Organismo > Comprimento padrão - CP (cm)";"Amostragem Biológica - Organismo à Organismo > Peso total - PT (g)";"Amostragem Biológica - Organismo à Organismo > Peso eviscerado - PEvis (g)";"Amostragem Biológica - Organismo à Organismo > Peso do fígado - PFig (g)";"Amostragem Biológica - Organismo à Organismo > Peso do estômago - PEst (g)";"Amostragem Biológica - Organismo à Organismo > Peso da gônoda - PGon (g)";"Amostragem Biológica - Organismo à Organismo > Armazenamento de apêndices do organismo processado > Houve armazenamento das gônadas para análise posterior?";"Amostragem Biológica - Organismo à Organismo > Armazenamento de apêndices do organismo processado > Houve armazenamento do estômago para análise posterior?";"Amostragem Biológica - Organismo à Organismo > Armazenamento de apêndices do organismo processado > Houve armazenamento de músculo para análise posterior?";"Amostragem Biológica - Organismo à Organismo > Armazenamento de apêndices do organismo processado > Houve armazenamento de otólitos para análise posterior?";"Amostragem Biológica - Organismo à Organismo > Armazenamento de apêndices do organismo processado > Selecione qual dos otólitos foi reservado para amostragem posterior"
"1.1217706";"1.1217706.10";"44";"338";"1.1110147";"Micropogonias furnieri";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"40,2";"31,4";"595,00";"520,00";"6,35";"2,81";"20,69";"";"";"";"";""
"1.1217706";"1.1217706.11";"44";"339";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"40,1";"31,1";"665,00";"610,00";"7,78";"7,03";"7,98";"";"";"";"";""
"1.1217706";"1.1217706.12";"44";"340";"1.1110147";"Micropogonias furnieri";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"24,7";"19,00";"155,00";"140,00";"";"";"";"";"";"";"";""
"1.1217706";"1.1217706.13";"44";"341";"1.1110147";"Micropogonias furnieri";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"26,1";"20,1";"165,00";"145,00";"";"";"";"";"";"";"";""
"1.1217706";"1.1217706.14";"44";"342";"1.1110147";"Micropogonias furnieri";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"26,2";"20,1";"185,00";"155,00";"";"";"";"";"";"";"";""
"1.1217706";"1.1217706.15";"44";"343";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"23,8";"18,5";"145,00";"140,00";"";"";"";"";"";"";"";""
"1.1217706";"1.1217706.16";"44";"344";"1.1110147";"Micropogonias furnieri";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"24,2";"19,7";"145,00";"120,00";"";"";"";"";"";"";"";""
"1.1217706";"1.1217706.17";"44";"345";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"33,9";"26,5";"440,00";"405,00";"";"";"3,93";"";"";"";"";""
"1.1217706";"1.1217706.18";"44";"346";"1.1092731";"Mugil liza";"Fêmea (F)";"";"D - Desovado";"73,5";"58,5";"3500,00";"3130,00";"60,5";"27,07";"90,42";"";"";"";"";""
"1.1216808";"1.1216808.0";"39";"225";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"36,1";"27,2";"437,1";"391,1";"7,3";"11,00";"1,1";"";"";"";"";""
"1.1216808";"1.1216808.1";"39";"226";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"31,9";"24,7";"313,1";"275,6";"4,9";"8,6";"0,98";"";"";"";"";""
"1.1216808";"1.1216808.2";"39";"227";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"31,2";"23,8";"293,4";"259,9";"4,3";"9,7";"1,23";"";"";"";"";""
"1.1216808";"1.1216808.3";"39";"228";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"34,4";"26,4";"372,1";"330,2";"7,3";"8,4";"1,04";"";"";"";"";""
"1.1216808";"1.1216808.4";"39";"229";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"38,3";"29,5";"516,6";"446,4";"10,6";"12,5";"0,942";"";"";"";"";""
"1.1216808";"1.1216808.5";"39";"230";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"35,7";"27,00";"410,4";"359,1";"7,2";"11,8";"1,37";"";"";"";"";""
"1.1216808";"1.1216808.6";"39";"242";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"11,9";"9,5";"11,7";"";"";"";"";"";"";"";"";""
"1.1216808";"1.1216808.7";"39";"243";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"13,7";"11,4";"19,66";"11,33";"0,045";"0,222";"0,018";"";"";"";"";""
"1.1216808";"1.1216808.8";"39";"244";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"12,3";"10,00";"14,25";"";"";"";"";"";"";"";"";""
"1.1216808";"1.1216808.9";"39";"245";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"13,6";"10,4";"14,8";"";"";"";"";"";"";"";"";""
"1.1216808";"1.1216808.10";"39";"246";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"15,6";"12,7";"27,75";"15,8";"0,098";"0,229";"0,01";"";"";"";"";""
"1.1216808";"1.1216808.11";"39";"247";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"12,4";"9,1";"14,4";"";"";"";"";"";"";"";"";""
"1.1216808";"1.1216808.12";"39";"248";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"11,00";"12,1";"10,6";"";"";"";"";"";"";"";"";""
"1.1216808";"1.1216808.13";"39";"249";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"13,4";"9,9";"18,46";"10,2";"0,066";"";"0,08";"";"";"";"";""
"1.1216808";"1.1216808.14";"39";"250";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"11,2";"12,2";"10,23";"";"";"";"";"";"";"";"";""
"1.1216793";"1.1216793.0";"34";"216";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"29,9";"22,4";"239,7";"214,9";"";"7,2";"0,01";"";"";"";"";""
"1.1216793";"1.1216793.1";"34";"217";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"28,5";"21,5";"183,2";"164,6";"";"7,5";"0,01";"";"";"";"";""
"1.1216793";"1.1216793.2";"34";"218";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"30,6";"25,5";"307,2";"280,1";"3,4";"6,7";"0,01";"";"";"";"";""
"1.1216793";"1.1216793.3";"34";"219";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"32,4";"26,6";"332,1";"307,2";"2,1";"3,8";"0,01";"";"";"";"";""
"1.1216793";"1.1216793.4";"34";"220";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"31,3";"23,4";"250,3";"230,1";"2,00";"5,8";"0,01";"";"";"";"";""
"1.1216793";"1.1216793.5";"34";"221";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"26,5";"20,6";"169,7";"155,2";"";"3,2";"0,01";"";"";"";"";""
"1.1216793";"1.1216793.6";"34";"222";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"28,7";"23,4";"279,3";"249,8";"";"6,00";"0,01";"";"";"";"";""
"1.1216793";"1.1216793.7";"34";"223";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"29,8";"23,1";"258,3";"237,00";"1,9";"4,4";"0,01";"";"";"";"";""
"1.1216793";"1.1216793.8";"34";"224";"1.1110147";"Micropogonias furnieri";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"30,4";"25,5";"289,1";"265,9";"1,4";"1,4";"0,01";"";"";"";"";""
"1.1164684";"1.1164684.0";"29";"278";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"C - Maturo / Desovante";"54,5";"46,00";"2009,2";"1263,5";"15,3";"8,00";"30,6";"";"";"";"";""
"1.1164677";"1.1164677.0";"38";"232";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"29,2";"23,1";"208,5";"139,00";"0,632";"5,825";"0,31";"";"";"";"";""
"1.1164677";"1.1164677.1";"38";"233";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"28,3";"22,3";"196,5";"126,5";"0,552";"5,499";"0,285";"";"";"";"";""
"1.1164659";"1.1164659.0";"37";"234";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"18,3";"14,00";"66,24";"61,5";"0,65";"0,45";"0,45";"Não";"Sim";"Sim";"Sim";""
"1.1164659";"1.1164659.1";"37";"235";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"11,1";"8,2";"11,81";"10,95";"0,1";"0,11";"0,01";"";"";"";"";""
"1.1164659";"1.1164659.2";"37";"236";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"14,6";"11,3";"28,7";"26,59";"0,28";"0,17";"0,18";"";"";"";"";""
"1.1164659";"1.1164659.3";"37";"237";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"12,3";"9,1";"20,12";"18,29";"0,24";"0,17";"";"";"";"";"";""
"1.1164659";"1.1164659.4";"37";"238";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"11,2";"8,5";"13,31";"11,43";"0,14";"0,06";"0,01";"";"";"";"";""
"1.1164659";"1.1164659.5";"37";"239";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"13,1";"9,6";"19,2";"18,44";"0,06";"0,14";"0,1";"";"";"";"";""
"1.1164659";"1.1164659.6";"37";"240";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"11,6";"8,5";"14,07";"13,19";"0,08";"0,06";"0,01";"";"";"";"";""
"1.1164659";"1.1164659.7";"37";"241";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"12,00";"9,00";"14,19";"13,94";"0,12";"0,12";"0,01";"";"";"";"";""
"1.1164659";"1.1164659.8";"37";"251";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"13,2";"10,2";"20,6";"19,11";"0,09";"0,06";"0,01";"";"";"";"";""
"1.1164659";"1.1164659.9";"37";"252";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"12,1";"9,4";"15,66";"14,32";"0,1";"0,15";"0,01";"";"";"";"";""
"1.1164659";"1.1164659.10";"37";"253";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"13,7";"9,6";"17,00";"15,46";"0,07";"0,26";"0,01";"";"";"";"";""
"1.1164659";"1.1164659.11";"37";"254";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"14,8";"11,5";"25,45";"23,6";"0,12";"0,12";"0,01";"";"";"";"";""
"1.1164659";"1.1164659.12";"37";"255";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"12,2";"9,2";"13,44";"12,19";"0,13";"0,14";"0,01";"";"";"";"";""
"1.1164659";"1.1164659.13";"37";"256";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"12,8";"10,00";"17,16";"15,67";"0,09";"0,1";"0,1";"";"";"";"";""
"1.1164659";"1.1164659.14";"37";"257";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"11,5";"8,5";"11,86";"10,87";"0,08";"0,07";"0,01";"";"";"";"";""
"1.1164659";"1.1164659.15";"37";"258";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"12,00";"8,6";"14,46";"13,48";"0,13";"0,13";"0,01";"";"";"";"";""
"1.1164659";"1.1164659.16";"37";"259";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"11,6";"8,5";"12,16";"11,18";"0,11";"";"0,01";"";"";"";"";""
"1.1164659";"1.1164659.17";"37";"260";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"11,3";"8,3";"10,37";"9,5";"";"0,05";"0,01";"";"";"";"";""
"1.1164659";"1.1164659.18";"37";"261";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"14,00";"10,5";"23,32";"20,76";"0,2";"0,12";"0,01";"";"";"";"";""
"1.1164659";"1.1164659.19";"37";"262";"1.1110147";"Micropogonias furnieri";"";"";"";"10,9";"8,00";"9,49";"";"";"";"";"";"";"";"";""
"1.1164659";"1.1164659.20";"37";"263";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"13,3";"10,00";"18,68";"17,18";"0,11";"0,2";"0,01";"";"";"";"";""
"1.1164659";"1.1164659.21";"37";"264";"1.1110147";"Micropogonias furnieri";"";"";"";"13,00";"10,00";"15,79";"";"";"";"";"";"";"";"";""
"1.1164659";"1.1164659.22";"37";"265";"1.1110147";"Micropogonias furnieri";"";"";"";"12,00";"9,00";"14,72";"";"";"";"";"";"";"";"";""
"1.1164659";"1.1164659.23";"37";"266";"1.1110147";"Micropogonias furnieri";"";"";"";"11,7";"9,2";"12,15";"";"";"";"0,01";"";"";"";"";""
"1.1164659";"1.1164659.24";"37";"267";"1.1110147";"Micropogonias furnieri";"";"";"";"12,4";"9,5";"13,67";"";"";"";"";"";"";"";"";""
"1.1164659";"1.1164659.25";"37";"268";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"9,1";"6,8";"5,32";"4,86";"0,02";"0,04";"0,01";"";"";"";"";""
"1.1164659";"1.1164659.26";"37";"269";"1.1110147";"Micropogonias furnieri";"";"";"";"13,6";"10,2";"20,78";"";"";"";"";"";"";"";"";""
"1.1164659";"1.1164659.27";"37";"270";"1.1110147";"Micropogonias furnieri";"";"";"";"9,1";"6,8";"5,52";"";"";"";"";"";"";"";"";""
"1.1164659";"1.1164659.28";"37";"271";"1.1110147";"Micropogonias furnieri";"";"";"";"12,5";"9,4";"15,61";"";"";"";"";"";"";"";"";""
"1.1164659";"1.1164659.29";"37";"272";"1.1110147";"Micropogonias furnieri";"";"";"";"13,7";"10,4";"20,57";"";"";"";"";"";"";"";"";""
"1.1164659";"1.1164659.30";"37";"273";"1.1110147";"Micropogonias furnieri";"";"";"";"10,5";"8,4";"10,14";"";"";"";"";"";"";"";"";""
"1.1164659";"1.1164659.31";"37";"274";"1.1110147";"Micropogonias furnieri";"";"";"";"14,00";"10,7";"20,16";"";"";"";"";"";"";"";"";""
"1.1164659";"1.1164659.32";"37";"275";"1.1110147";"Micropogonias furnieri";"";"";"";"12,3";"9,4";"14,47";"";"";"";"";"";"";"";"";""
"1.1164659";"1.1164659.33";"37";"276";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"9,5";"7,3";"6,35";"5,71";"0,04";"0,06";"0,01";"";"";"";"";""
"1.1164659";"1.1164659.34";"37";"277";"1.1110147";"Micropogonias furnieri";"";"";"";"10,00";"8,00";"8,02";"";"";"";"";"";"";"";"";""
"1.1164659";"1.1164659.35";"37";"278";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"C - Maturo / Desovante";"54,5";"46,00";"2009,2";"1263,5";"15,3";"8,00";"30,6";"";"";"";"";""
"1.1164659";"1.1164659.36";"37";"279";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"21,3";"17,1";"85,6";"75,82";"0,834";"0,243";"0,716";"";"";"";"";""
"1.1164659";"1.1164659.37";"37";"280";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"17,5";"13,00";"47,9";"44,6";"0,217";"0,129";"";"";"";"";"";""
"1.1164659";"1.1164659.38";"37";"281";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"18,2";"12,00";"33,6";"30,5";"0,112";"0,7";"";"";"";"";"";""
"1.1164659";"1.1164659.39";"37";"282";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"12,00";"9,00";"13,9";"12,1";"0,43";"0,132";"";"";"";"";"";""
"1.1164659";"1.1164659.40";"37";"283";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"12,00";"9,00";"14,6";"12,5";"0,49";"0,73";"";"";"";"";"";""
"1.1164659";"1.1164659.41";"37";"284";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"13,2";"10,5";"19,5";"17,8";"0,58";"0,107";"";"";"";"";"";""
"1.1164659";"1.1164659.42";"37";"285";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"12,00";"9,00";"15,9";"14,3";"0,65";"0,34";"";"";"";"";"";""
"1.1164659";"1.1164659.43";"37";"286";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"11,00";"8,00";"10,5";"9,3";"0,38";"0,38";"";"";"";"";"";""
"1.1164659";"1.1164659.44";"37";"287";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"11,1";"8,1";"11,4";"10,1";"0,65";"0,22";"";"";"";"";"";""
"1.1164659";"1.1164659.45";"37";"288";"1.1110147";"Micropogonias furnieri";"Indeterminado (I)";"";"";"11,00";"8,00";"9,6";"8,7";"";"";"";"";"";"";"";""
"1.1164659";"1.1164659.46";"37";"289";"1.1092731";"Mugil liza";"Macho (M)";"C - Maturo";"";"53,2";"40,3";"1475,7";"129,16";"10,4";"15,4";"81,6";"";"";"";"";""
"1.1164659";"1.1164659.47";"37";"290";"1.1092731";"Mugil liza";"Macho (M)";"C - Maturo";"";"46,3";"35,6";"1080,1";"95,35";"9,1";"9,8";"45,00";"";"";"";"";""
"1.1164659";"1.1164659.48";"37";"291";"1.1092731";"Mugil liza";"Macho (M)";"C - Maturo";"";"48,8";"38,1";"110,23";"97,36";"14,9";"16,1";"32,6";"";"";"";"";""
"1.1164659";"1.1164659.49";"37";"292";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"50,6";"40,2";"1220,8";"104,93";"10,7";"11,1";"74,8";"";"";"";"";""
"1.1164659";"1.1164659.50";"37";"293";"1.1092731";"Mugil liza";"Macho (M)";"C - Maturo";"";"50,1";"38,5";"1253,6";"110,01";"20,00";"12,00";"51,5";"";"";"";"";""
"1.1164659";"1.1164659.51";"37";"294";"1.1092731";"Mugil liza";"Macho (M)";"C - Maturo";"";"49,2";"37,8";"104,01";"94,9";"11,3";"14,1";"25,00";"";"";"";"";""
"1.1164659";"1.1164659.52";"37";"295";"1.1092731";"Mugil liza";"Macho (M)";"C - Maturo";"";"53,2";"40,3";"1357,00";"1207,8";"10,3";"16,1";"80,3";"";"";"";"";""
"1.1164651";"1.1164651.0";"35";"231";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"48,2";"36,5";"1054,9";"942,8";"11,8";"66,7";"9,02";"Não";"Sim";"Sim";"Sim";""
"1.1164597";"1.1164597.0";"30";"208";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"C - Maturo";"";"43,9";"34,3";"761,8";"667,2";"15,3";"6,00";"60,5";"Não";"Não";"Sim";"Sim";""
"1.1164597";"1.1164597.1";"30";"209";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"C - Maturo / Desovante";"50,2";"38,1";"1121,7";"1026,9";"19,00";"10,00";"40,8";"Sim";"Sim";"Sim";"Sim";""
"1.1164597";"1.1164597.2";"30";"210";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"C - Maturo / Desovante";"39,8";"30,1";"549,7";"459,00";"6,6";"3,7";"23,5";"Sim";"Não";"Sim";"Sim";""
"1.1164597";"1.1164597.3";"30";"211";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"C - Maturo / Desovante";"47,3";"36,3";"859,00";"760,3";"12,1";"7,3";"51,4";"Sim";"Sim";"Sim";"Sim";""
"1.1164597";"1.1164597.4";"30";"212";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"C - Maturo";"";"47,2";"36,1";"903,4";"793,6";"6,4";"7,6";"70,7";"Não";"Não";"Sim";"Sim";""
"1.1164597";"1.1164597.5";"30";"213";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"C - Maturo / Desovante";"51,3";"38,4";"887,4";"827,3";"4,2";"8,6";"28,7";"Não";"Sim";"Sim";"Sim";""
"1.1164597";"1.1164597.6";"30";"214";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"C - Maturo / Desovante";"47,2";"36,00";"870,00";"772,8";"12,5";"7,2";"54,9";"Não";"Sim";"Sim";"Sim";""
"1.1164597";"1.1164597.7";"30";"215";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"C - Maturo";"";"40,7";"30,9";"615,3";"546,9";"3,7";"4,5";"40,6";"Não";"Não";"Sim";"Sim";""
"1.1162419";"1.1162419.0";"32";"207";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"D - Desovado";"77,00";"";"3910,00";"";"18,00";"55,5";"37,8";"Não";"Sim";"Sim";"Sim";""
"1.1162410";"1.1162410.0";"28";"206";"1.1110178";"Trichiurus lepturus";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"127,00";"";"1203,5";"1058,00";"5,21";"";"12,3";"Sim";"Não";"Não";"Sim";""
"1.1162394";"1.1162394.0";"27";"186";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"C - Maturo";"";"45,6";"36,3";"1005,1";"917,00";"8,551";"9,299";"45,937";"Não";"Sim";"Sim";"Sim";""
"1.1162394";"1.1162394.1";"27";"187";"1.1110167";"Pomatomus saltatrix";"Macho (M)";"C - Maturo";"";"44,3";"34,2";"905,6";"787,3";"11,854";"7,152";"85,514";"Não";"Sim";"Sim";"Sim";""
"1.1162394";"1.1162394.2";"27";"188";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"49,3";"37,6";"1087,9";"1028,1";"15,663";"9,444";"8,408";"Não";"Sim";"Sim";"Sim";""
"1.1161134";"1.1161134.0";"26";"162";"1.1092731";"Mugil liza";"Fêmea (F)";"";"C - Maturo / Desovante";"56,7";"43,5";"2053,8";"1749,5";"25,2";"26,5";"183,9";"Não";"Sim";"Sim";"Sim";""
"1.1161134";"1.1161134.1";"26";"163";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"32,6";"24,5";"282,7";"253,9";"25,2";"26,5";"183,9";"Não";"Sim";"Sim";"Sim";""
"1.1161134";"1.1161134.2";"26";"164";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"32,7";"24,3";"257,4";"231,4";"2,79";"3,08";"0,421";"Não";"Não";"Sim";"Sim";""
"1.1161134";"1.1161134.3";"26";"165";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"32,7";"24,6";"265,8";"241,8";"2,6";"5,03";"0,02";"Não";"Sim";"Sim";"Sim";""
"1.1161134";"1.1161134.4";"26";"166";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"29,5";"23,2";"240,4";"220,1";"1,73";"5,21";"0,01";"Não";"Sim";"Sim";"Sim";""
"1.1161134";"1.1161134.5";"26";"167";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"31,3";"24,00";"283,9";"254,9";"1,81";"5,86";"0,01";"Não";"Sim";"Sim";"Sim";""
"1.1161134";"1.1161134.6";"26";"168";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"30,8";"23,6";"268,4";"244,87";"2,31";"3,8";"0,01";"Não";"Não";"Sim";"Sim";""
"1.1161134";"1.1161134.7";"26";"169";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"33,4";"25,4";"307,2";"269,3";"3,72";"6,31";"0,488";"Não";"Sim";"Sim";"Sim";""
"1.1161134";"1.1161134.8";"26";"170";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"33,4";"25,6";"302,05";"271,5";"2,81";"5,07";"0,215";"Não";"Sim";"Sim";"Sim";""
"1.1161134";"1.1161134.9";"26";"171";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"34,6";"26,00";"333,5";"281,00";"1,59";"3,15";"0,459";"Não";"Não";"Sim";"Sim";""
"1.1161134";"1.1161134.10";"26";"172";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"32,3";"24,5";"276,6";"248,2";"2,71";"3,09";"0,01";"Não";"Não";"Sim";"Sim";""
"1.1161134";"1.1161134.11";"26";"173";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"32,3";"24,5";"270,6";"250,1";"1,87";"2,98";"0,562";"Não";"Não";"Sim";"Sim";""
"1.1161134";"1.1161134.12";"26";"174";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"47,6";"37,3";"1092,3";"704,3";"";"16,956";"9,85";"Não";"Não";"Sim";"Sim";""
"1.1161134";"1.1161134.13";"26";"175";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"33,6";"26,00";"337,5";"214,00";"2,314";"6,055";"0,01";"Não";"Não";"Sim";"Sim";""
"1.1161134";"1.1161134.14";"26";"176";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"30,9";"24,3";"243,3";"156,4";"";"3,456";"0,01";"Não";"Não";"Sim";"Sim";""
"1.1161134";"1.1161134.15";"26";"177";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"32,6";"25,4";"306,9";"195,00";"3,238";"4,814";"0,612";"Não";"Não";"Sim";"Sim";""
"1.1161134";"1.1161134.16";"26";"178";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"33,5";"26,5";"324,6";"198,3";"5,728";"6,103";"0,01";"Não";"Não";"Sim";"Sim";""
"1.1161134";"1.1161134.17";"26";"179";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"30,4";"23,2";"218,8";"154,4";"1,146";"2,965";"0,01";"Não";"Não";"Sim";"Sim";""
"1.1161134";"1.1161134.18";"26";"180";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"30,9";"24,00";"269,5";"167,8";"3,00";"4,209";"0,01";"Não";"Não";"Sim";"Sim";""
"1.1161134";"1.1161134.19";"26";"181";"1.1092731";"Mugil liza";"Fêmea (F)";"";"C - Maturo / Desovante";"59,7";"47,00";"2125,3";"1307,1";"12,001";"25,562";"213,00";"Não";"Não";"Sim";"Sim";""
"1.1161134";"1.1161134.20";"26";"182";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"33,4";"26,5";"274,7";"175,2";"2,909";"5,699";"0,01";"Não";"Não";"Sim";"Sim";""
"1.1161134";"1.1161134.21";"26";"183";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"33,00";"25,00";"313,9";"198,7";"4,389";"6,92";"0,2";"Não";"Não";"Sim";"Sim";""
"1.1161134";"1.1161134.22";"26";"184";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"33,2";"25,1";"319,5";"209,5";"4,061";"4,579";"0,01";"Não";"Sim";"Sim";"Sim";""
